outcome,family,contrast,scoring,unadj_estimate,unadj_se,unadj_df,unadj_t,unadj_p,unadj_ci_lo,unadj_ci_hi,unadj_d,adj_estimate,adj_se,adj_df,adj_t,adj_p,adj_ci_lo,adj_ci_hi,adj_d,unadj_F,unadj_num_df,unadj_den_df,adj_F,adj_num_df,adj_den_df
BS_RJA,Behavioural sample,Treatment difference in change T1->T3,higher = better,0.8958198997140414,1.0870104838367403,74.52536359815139,0.8241133945204764,0.41250487665086166,-1.2698420988841512,3.061481898312234,0.2676132167055076,0.9152521201465404,1.0874316483453175,74.43661252473511,0.8416640453119304,0.4026719562291876,-1.2512915830571076,3.0817958233501885,0.27341831103231545,,,,,,
BS_RJA,Behavioural sample,Omnibus Group x Time (2 df),,,,,,0.1299094754131161,,,,,,,,0.12512768188093654,,,,2.097355663521181,2.0,75.15799435667023,2.137015179116468,2.0,75.10330273826969
BS_IJA,Behavioural sample,Group difference at T1,higher = better,0.8440476190476218,2.6737549795570277,74.73455226830912,0.3156787459961865,0.7531262406174604,-4.4826555454666455,6.170750783561889,0.09779395070732103,0.921640280340096,2.575326730544243,76.74221811042393,0.35787314650569646,0.7214206890300208,-4.206765305365526,6.050045866045718,0.10678407486909294,,,,,,
BS_IJA,Behavioural sample,Group difference at T2,higher = better,1.7277444509173776,2.7414805441898946,78.99274810247333,0.6302231305558744,0.5303675409537099,-3.7290438638703636,7.184532765705119,0.20018178104513845,1.8407964815182112,2.6452668231030794,81.0603244600256,0.6958831016369195,0.488492453230014,-3.4223953619212457,7.103988324957668,0.21328033669347407,,,,,,
BS_IJA,Behavioural sample,Group difference at T3,higher = better,3.066849388268679,2.697267142959105,76.23674276595492,1.1370210015253122,0.25909071560155134,-2.3049539314291607,8.438652707966519,0.3553345938485529,3.188894950927857,2.599612816516487,78.26860150712915,1.2266807313256038,0.22362001204602058,-1.9862568653866974,8.36404676724241,0.36947516775622663,,,,,,
BS_IJA,Behavioural sample,Treatment difference in change T1->T2,higher = better,0.8836968318697558,2.714275614916528,74.1810491364694,0.3255737284059607,0.7456634636118009,-4.524396073153462,6.291789736892974,0.10238783033781743,0.9191562011781151,2.7139034043463988,74.23141965473557,0.3386841991892779,0.7358037974302067,-4.488134272985178,6.326446675341408,0.10649626182438114,,,,,,
BS_IJA,Behavioural sample,Treatment difference in change T1->T3,higher = better,2.222801769221057,2.6696116908729532,73.6564461618107,0.8326311189078622,0.4077444469474443,-3.0969279218055643,7.5425314602476785,0.25754064314123193,2.2672546705877608,2.669650627792018,73.66991902907525,0.8492701805190644,0.3984823668266526,-3.0525363679911344,7.587045709166656,0.2626910928871337,,,,,,
BS_IJA,Behavioural sample,Omnibus Group x Time (2 df),,,,,,0.705538866534818,,,,,,,,0.6961502072090981,,,,0.35044035146218266,2.0,74.10107527030688,0.3639647077008394,2.0,74.15128372768979
BS_EC,Behavioural sample,Group difference at T1,higher = better,-0.4988095238095305,1.2288188261104274,81.32304785153906,-0.40592601058075356,0.6858630737499507,-2.9436263118143238,1.9460072641952628,-0.15575797550649,-0.5173340887982318,1.2244405090902812,79.92288548775954,-0.42250651212331575,0.6737898775143067,-2.9540844508569775,1.9194162732605138,-0.1615424455337309,,,,,,
BS_EC,Behavioural sample,Group difference at T2,higher = better,0.28326802228326997,1.2631480657138872,85.57405614808141,0.22425559597653089,0.8230929932838082,-2.2279655451955898,2.7945015897621297,0.08845310999598527,0.24607454385372396,1.2591234320399332,84.19533717578008,0.19543321773867178,0.8455246858726214,-2.2577456132948686,2.7498947010023165,0.07683909577671685,,,,,,
BS_EC,Behavioural sample,Group difference at T3,higher = better,-0.4083000151548859,1.240746363662011,82.83703761895599,-0.32907613281235454,0.7429286970856843,-2.8761664291893028,2.059566398879531,-0.1274955283012564,-0.435819119171426,1.236486942833637,81.43963581554645,-0.35246560563968954,0.7253996388259376,-2.8958389634696,2.024200725126748,-0.13608862792099327,,,,,,
BS_EC,Behavioural sample,Treatment difference in change T1->T2,higher = better,0.7820775460928004,1.3245594014468969,74.60590731887763,0.5904435431423382,0.5566776755090588,-1.8568085693765086,3.4209636615621095,0.24421108550247528,0.7634086326519558,1.3244575699878145,74.62762309148002,0.5763934232026621,0.566083718237927,-1.8752619538160844,3.402079219119996,0.23838154131044775,,,,,,
BS_EC,Behavioural sample,Treatment difference in change T1->T3,higher = better,0.09050950865464458,1.3032137625827664,74.001095163412,0.06945100738904786,0.9448179617116184,-2.506199958273665,2.687218975582954,0.028262447205233618,0.08151496962680582,1.303066473300047,74.03138299021026,0.06255626347316512,0.9502884484292786,-2.514883367322165,2.6779133065757765,0.025453817612737635,,,,,,
BS_EC,Behavioural sample,Omnibus Group x Time (2 df),,,,,,0.8153566656460722,,,,,,,,0.8219997207797012,,,,0.20468987366997227,2.0,74.51307739757189,0.1965315681533212,2.0,74.54211159855782
BS_FL,Behavioural sample,Group difference at T1,higher = better,0.7166666666666757,0.5359119233650488,107.85014878194059,1.3372844219748805,0.18394339742756366,-0.34562045824896526,1.7789537915823166,0.34989339024484395,0.7214093024671904,0.5367498734581644,106.1682118963394,1.3440325524798076,0.18180296937662543,-0.3427300620903888,1.7855486670247696,0.35220885571313043,,,,,,
BS_FL,Behavioural sample,Group difference at T2,higher = better,0.34016315526969265,0.5556037010693573,109.0913775716692,0.6122406215347174,0.5416525885669088,-0.7610149649365003,1.4413412754758856,0.1660755901865505,0.3538641974072618,0.5566747727028893,107.5366307947733,0.6356749304249999,0.5263387941316084,-0.749615642143229,1.4573440369577526,0.1727647586750177,,,,,,
BS_FL,Behavioural sample,Group difference at T3,higher = better,0.07457356320031394,0.5427719407142957,108.31477427729159,0.1373939174198542,0.8909745141755547,-1.001259165905694,1.1504062923063219,0.03640855374529626,0.08298770515279941,0.5436800554665985,106.6737777709495,0.15264070167440202,0.8789699709169106,-0.9948322891014116,1.1608076994070105,0.04051653419239832,,,,,,
BS_FL,Behavioural sample,Treatment difference in change T1->T2,higher = better,-0.376503511396983,0.7098074648723247,76.64964889851113,-0.5304304759104018,0.5973469196525197,-1.7900138527699014,1.0370068299759354,-0.18381780005829346,-0.36754510505992855,0.7104100967285795,76.45577011714448,-0.5173703284236308,0.6063913256329172,-1.7823130464220374,1.0472228363021803,-0.17944409703811276,,,,,,
BS_FL,Behavioural sample,Treatment difference in change T1->T3,higher = better,-0.6420931034663617,0.6998089340479096,75.64824516421464,-0.9175263021469278,0.361782961202904,-2.0359882061432364,0.7518019992105132,-0.3134848364995477,-0.638421597314391,0.7003261276462334,75.47129290352248,-0.9116061390713768,0.36487873514875835,-2.033400000919409,0.7565568062906272,-0.3116923215207321,,,,,,
BS_FL,Behavioural sample,Omnibus Group x Time (2 df),,,,,,0.6548762645145081,,,,,,,,0.6590916315616133,,,,0.42566029455994797,2.0,76.49027190227491,0.41917868249910484,2.0,76.3063064914852
BS_T,Behavioural sample,Group difference at T1,higher = better,0.9571428571428982,3.1348362593980563,95.67864577694505,0.3053246734254268,0.7607821333197926,-5.2657246711770656,7.180010385462862,0.08164923835378084,1.043070995165479,3.029339627570508,98.4582590396561,0.3443228965390087,0.7313378038615757,-4.968205213799966,7.0543472041309245,0.08897935315361874,,,,,,
BS_T,Behavioural sample,Group difference at T2,higher = better,4.251269034998245,3.2383296224293945,98.94484841630238,1.3127968831687193,0.1922881821052742,-2.1743238035879466,10.676861873584436,0.362655246449587,4.40307768145216,3.1348321402325876,101.21249298667377,1.4045656942656826,0.1632119570613003,-1.8154277513271202,10.621583114231441,0.37560530951068555,,,,,,
BS_T,Behavioural sample,Group difference at T3,higher = better,3.558414224877936,3.17084998153037,96.87092399082799,1.1222272405206988,0.2645397374169898,-2.7349511538028137,9.851779603558686,0.30355114603876315,3.7173638531135396,3.066024131844208,99.46458028635207,1.2124378978314014,0.2282167986503515,-2.365941700169949,9.800669406397027,0.31711037179613205,,,,,,
BS_T,Behavioural sample,Treatment difference in change T1->T2,higher = better,3.294126177855347,3.7829964728028247,75.09105691658615,0.8707716757173518,0.386654162872458,-4.241839460370806,10.830091816081499,0.28100600809580617,3.360006686286681,3.7821583175452194,75.16406630946273,0.8883834055015094,0.377168729063331,-4.174169490490091,10.894182863063453,0.28662595635706684,,,,,,
BS_T,Behavioural sample,Treatment difference in change T1->T3,higher = better,2.6012713677350376,3.7253957071841444,74.2900452076689,0.6982537083828927,0.487198509425809,-4.821260101141499,10.023802836611575,0.2219019076849823,2.6742928579480605,3.725617336869939,74.30635404657764,0.7178120070148847,0.4751239548759314,-4.748653225999963,10.097238941896084,0.2281310186425133,,,,,,
