outcome,model,quantity,term,spss,python,abs_diff,rel_diff
CJARS_ps,A_unadjusted,EMM contrast CI lower,group diff at T2,4.3277206880863,4.327778142598135,5.7454511835253186e-05,1.3275928826326203e-05
CJARS_ps,A_unadjusted,EMM contrast CI upper,group diff at T2,36.409427620094,36.40937012611447,5.749397953280777e-05,1.5790959454983966e-06
CJARS_ps,A_unadjusted,EMM contrast estimate,group diff at T3,22.29752884701,22.29752883019119,1.6818809456253803e-08,7.542902880248602e-10
CJARS_ps,A_unadjusted,EMM contrast SE,group diff at T3,7.9720607751054,7.972060888579256,1.1347385608928562e-07,1.4233942676858903e-08
CJARS_ps,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T3,52.693336183229,52.70148946749086,0.008153284261858573,0.00015473084174263317
CJARS_ps,A_unadjusted,EMM contrast p,group diff at T3,0.0071857475258594,0.0071854109452796,3.365805797996002e-07,4.684002305791364e-05
CJARS_ps,A_unadjusted,EMM contrast CI lower,group diff at T3,6.3054272603281,6.3054851138360455,5.7853507945182514e-05,9.175192347262464e-06
CJARS_ps,A_unadjusted,EMM contrast CI upper,group diff at T3,38.289630433692,38.28957254654634,5.7887145658241934e-05,1.5118230445835172e-06
CJARS_ps,B_verbal_adjusted,EMM contrast estimate,group diff at T1,2.6551744893829,2.655174490176321,7.934208845483681e-10,2.988206190293619e-10
CJARS_ps,B_verbal_adjusted,EMM contrast SE,group diff at T1,7.4439984711214,7.443998736940449,2.6581904855049743e-07,3.570917559719127e-08
CJARS_ps,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T1,52.129971161116,52.13927449940272,0.00930333828671337,0.00017846428991798052
CJARS_ps,B_verbal_adjusted,EMM contrast p,group diff at T1,0.72276618876273,0.7227659419754124,2.467873175815427e-07,3.414483430720611e-07
CJARS_ps,B_verbal_adjusted,EMM contrast CI lower,group diff at T1,-12.281414841826,-12.28135209798529,6.274384071147665e-05,5.108844666478825e-06
CJARS_ps,B_verbal_adjusted,EMM contrast CI upper,group diff at T1,17.591763820592,17.591701078337934,6.274225406599498e-05,3.5665698281233277e-06
CJARS_ps,B_verbal_adjusted,EMM contrast estimate,group diff at T2,20.711195316903,20.711195348459164,3.1556162127799325e-08,1.523628242839535e-09
CJARS_ps,B_verbal_adjusted,EMM contrast SE,group diff at T2,7.5390048707328,7.539005130456528,2.5972372785787456e-07,3.4450664552048384e-08
CJARS_ps,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T2,54.344547347227,54.35424037202588,0.009693024798878014,0.0001783624166918857
CJARS_ps,B_verbal_adjusted,EMM contrast p,group diff at T2,0.0081371637958701,0.0081367610525575,4.027433126007479e-07,4.949431063500952e-05
CJARS_ps,B_verbal_adjusted,EMM contrast CI lower,group diff at T2,5.5985949814646,5.598655814975324,6.0833510723945494e-05,1.0865853115888617e-05
CJARS_ps,B_verbal_adjusted,EMM contrast CI upper,group diff at T2,35.823795652342,35.823734881943004,6.0770398995657615e-05,1.696369630549875e-06
